id,tx,ty,tz,qx,qy,qz,qw,t
0,-25280.816406,-26635.052734,270.929962,0.009924,-0.009821,0.710730,0.703326,0.033333
1,-25280.816406,-26635.052734,270.929962,0.009924,-0.009821,0.710730,0.703326,0.066667
2,-25280.816406,-26635.052734,270.929962,0.009924,-0.009821,0.710730,0.703326,0.100000
3,-25280.816406,-26635.052734,270.929962,0.009924,-0.009821,0.710730,0.703326,0.133333
4,-25280.841797,-26632.468750,270.934814,0.009923,-0.009820,0.710730,0.703326,0.166667
5,-25280.919922,-26624.751953,270.949341,0.009920,-0.009817,0.710730,0.703327,0.200000
6,-25281.050781,-26611.947266,270.973419,0.009915,-0.009812,0.710729,0.703328,0.233333
7,-25281.230469,-26594.109375,271.006958,0.009908,-0.009805,0.710728,0.703329,0.266667
8,-25281.460938,-26571.281250,271.049896,0.009900,-0.009797,0.710726,0.703331,0.300000
9,-25281.742188,-26543.517578,271.102112,0.009889,-0.009786,0.710725,0.703333,0.333333
10,-25282.072266,-26510.865234,271.163513,0.009876,-0.009773,0.710723,0.703335,0.366667
11,-25282.451172,-26473.371094,271.234039,0.009862,-0.009759,0.710721,0.703337,0.400000
12,-25282.878906,-26431.087891,271.313568,0.009845,-0.009743,0.710718,0.703340,0.433333
13,-25283.353516,-26384.064453,271.402008,0.009827,-0.009725,0.710716,0.703344,0.466667
14,-25283.876953,-26332.347656,271.499268,0.009807,-0.009705,0.710712,0.703347,0.500000
15,-25284.445312,-26275.988281,271.605255,0.009785,-0.009684,0.710709,0.703351,0.533333
16,-25285.062500,-26215.033203,271.719879,0.009761,-0.009660,0.710706,0.703355,0.566667
17,-25285.724609,-26149.535156,271.843079,0.009736,-0.009635,0.710702,0.703360,0.600000
18,-25286.431641,-26079.541016,271.974701,0.009709,-0.009609,0.710698,0.703365,0.633333
19,-25287.183594,-26005.099609,272.114716,0.009680,-0.009580,0.710693,0.703370,0.666667
20,-25287.980469,-25926.261719,272.262970,0.009649,-0.009550,0.710689,0.703376,0.700000
21,-25288.822266,-25843.076172,272.419434,0.009617,-0.009518,0.710684,0.703381,0.733333
22,-25289.707031,-25755.589844,272.583954,0.009583,-0.009485,0.710679,0.703388,0.766667
23,-25290.634766,-25663.853516,272.756500,0.009548,-0.009450,0.710673,0.703394,0.800000
24,-25291.603516,-25567.917969,272.936920,0.009510,-0.009413,0.710668,0.703401,0.833333
25,-25292.615234,-25467.830078,273.125153,0.009472,-0.009375,0.710662,0.703408,0.866667
26,-25293.667969,-25363.638672,273.321106,0.009431,-0.009335,0.710656,0.703415,0.900000
27,-25294.763672,-25255.394531,273.524689,0.009389,-0.009294,0.710649,0.703422,0.933333
28,-25295.896484,-25143.144531,273.735779,0.009346,-0.009251,0.710643,0.703430,0.966667
29,-25297.072266,-25026.941406,273.954346,0.009301,-0.009206,0.710636,0.703438,1.000000
30,-25298.287109,-24906.832031,274.180237,0.009254,-0.009160,0.710629,0.703447,1.033333
31,-25299.539062,-24782.863281,274.413361,0.009206,-0.009113,0.710622,0.703455,1.066667
32,-25300.832031,-24655.089844,274.653687,0.009156,-0.009064,0.710614,0.703464,1.100000
33,-25302.160156,-24523.554688,274.901062,0.009105,-0.009014,0.710606,0.703473,1.133333
34,-25303.527344,-24388.312500,275.155396,0.009053,-0.008962,0.710598,0.703483,1.166667
35,-25304.931641,-24249.410156,275.416626,0.008999,-0.008909,0.710590,0.703492,1.200000
36,-25306.373047,-24106.894531,275.684662,0.008944,-0.008855,0.710582,0.703502,1.233333
37,-25307.849609,-23960.818359,275.959381,0.008887,-0.008799,0.710573,0.703512,1.266667
38,-25309.361328,-23811.228516,276.240723,0.008829,-0.008742,0.710564,0.703523,1.300000
39,-25310.908203,-23658.173828,276.528564,0.008770,-0.008683,0.710555,0.703533,1.333333
40,-25312.490234,-23501.705078,276.822845,0.008709,-0.008623,0.710546,0.703544,1.366667
41,-25314.105469,-23341.871094,277.123444,0.008647,-0.008562,0.710537,0.703555,1.400000
42,-25315.755859,-23178.720703,277.430267,0.008584,-0.008500,0.710527,0.703566,1.433333
43,-25317.437500,-23012.302734,277.743256,0.008519,-0.008436,0.710517,0.703578,1.466667
44,-25319.152344,-22842.666016,278.062286,0.008454,-0.008371,0.710507,0.703589,1.500000
45,-25320.898438,-22669.861328,278.387299,0.008387,-0.008305,0.710497,0.703601,1.533333
46,-25322.677734,-22493.935547,278.718170,0.008319,-0.008238,0.710486,0.703614,1.566667
47,-25324.486328,-22314.939453,279.054779,0.008249,-0.008170,0.710476,0.703626,1.600000
48,-25326.326172,-22132.921875,279.397125,0.008179,-0.008100,0.710465,0.703638,1.633333
49,-25328.197266,-21947.931641,279.745026,0.008107,-0.008029,0.710454,0.703651,1.666667
50,-25330.095703,-21760.017578,280.098419,0.008034,-0.007957,0.710443,0.703664,1.700000
51,-25332.025391,-21569.230469,280.457245,0.007960,-0.007884,0.710431,0.703677,1.733333
52,-25333.982422,-21375.617188,280.821381,0.007885,-0.007810,0.710420,0.703691,1.766667
53,-25335.966797,-21179.226562,281.190735,0.007809,-0.007735,0.710408,0.703704,1.800000
54,-25337.980469,-20980.111328,281.565216,0.007732,-0.007659,0.710396,0.703718,1.833333
55,-25340.019531,-20778.316406,281.944702,0.007654,-0.007582,0.710384,0.703732,1.866667
56,-25342.085938,-20573.894531,282.329163,0.007574,-0.007504,0.710372,0.703746,1.900000
57,-25344.179688,-20366.892578,282.718475,0.007494,-0.007425,0.710360,0.703760,1.933333
58,-25346.296875,-20157.359375,283.112549,0.007413,-0.007344,0.710347,0.703774,1.966667
59,-25348.439453,-19945.345703,283.511292,0.007331,-0.007263,0.710334,0.703789,2.000000
60,-25350.607422,-19730.902344,283.914581,0.007248,-0.007181,0.710322,0.703803,2.033333
61,-25352.798828,-19514.074219,284.322388,0.007164,-0.007098,0.710309,0.703818,2.066667
62,-25355.015625,-19294.910156,284.734558,0.007079,-0.007014,0.710295,0.703833,2.100000
63,-25357.253906,-19073.462891,285.151031,0.006993,-0.006930,0.710282,0.703848,2.133333
64,-25359.515625,-18849.781250,285.571716,0.006906,-0.006844,0.710269,0.703863,2.166667
65,-25361.798828,-18623.912109,285.996490,0.006819,-0.006758,0.710255,0.703879,2.200000
66,-25364.103516,-18395.904297,286.425323,0.006731,-0.006670,0.710241,0.703894,2.233333
67,-25366.429688,-18165.808594,286.858063,0.006641,-0.006582,0.710228,0.703910,2.266667
68,-25368.775391,-17933.675781,287.294617,0.006552,-0.006494,0.710214,0.703926,2.300000
69,-25371.142578,-17699.552734,287.734955,0.006461,-0.006404,0.710199,0.703942,2.333333
70,-25373.527344,-17463.488281,288.178925,0.006369,-0.006314,0.710185,0.703958,2.366667
71,-25375.933594,-17225.531250,288.626434,0.006277,-0.006223,0.710171,0.703974,2.400000
72,-25378.357422,-16985.734375,289.077423,0.006184,-0.006131,0.710156,0.703990,2.433333
73,-25380.800781,-16744.140625,289.531769,0.006091,-0.006038,0.710142,0.704007,2.466667
74,-25383.259766,-16500.804688,289.989441,0.005997,-0.005945,0.710127,0.704023,2.500000
75,-25385.736328,-16255.774414,290.450256,0.005902,-0.005851,0.710112,0.704040,2.533333
76,-25388.230469,-16009.098633,290.914185,0.005806,-0.005757,0.710097,0.704056,2.566667
77,-25390.740234,-15760.824219,291.381104,0.005710,-0.005662,0.710082,0.704073,2.600000
78,-25393.265625,-15511.002930,291.850952,0.005613,-0.005566,0.710067,0.704090,2.633333
79,-25395.804688,-15259.681641,292.323608,0.005516,-0.005470,0.710051,0.704107,2.666667
80,-25398.361328,-15006.914062,292.798981,0.005418,-0.005373,0.710036,0.704124,2.700000
81,-25400.929688,-14752.743164,293.277008,0.005320,-0.005276,0.710021,0.704141,2.733333
82,-25403.513672,-14497.222656,293.757568,0.005221,-0.005178,0.710005,0.704158,2.766667
83,-25406.109375,-14240.398438,294.240570,0.005122,-0.005080,0.709989,0.704175,2.800000
84,-25408.718750,-13982.324219,294.725922,0.005022,-0.004981,0.709974,0.704193,2.833333
85,-25411.339844,-13723.042969,295.213562,0.004921,-0.004881,0.709958,0.704210,2.866667
86,-25413.972656,-13462.610352,295.703369,0.004821,-0.004782,0.709942,0.704228,2.900000
87,-25416.615234,-13201.069336,296.195221,0.004719,-0.004682,0.709926,0.704245,2.933333
88,-25419.269531,-12938.474609,296.689087,0.004618,-0.004581,0.709910,0.704263,2.966667
89,-25421.935547,-12674.869141,297.184845,0.004516,-0.004480,0.709893,0.704280,3.000000
90,-25424.609375,-12410.307617,297.682404,0.004413,-0.004379,0.709877,0.704298,3.033333
91,-25427.292969,-12144.837891,298.181671,0.004311,-0.004277,0.709861,0.704316,3.066667
92,-25429.986328,-11878.507812,298.682556,0.004208,-0.004175,0.709844,0.704334,3.100000
93,-25432.685547,-11611.367188,299.184967,0.004104,-0.004073,0.709828,0.704351,3.133333
94,-25435.394531,-11343.463867,299.688843,0.004001,-0.003970,0.709811,0.704369,3.166667
